D,T,C
19/09/05,12:42:44,6.2138404000000005
19/09/05,12:42:45,6.2777955
19/09/05,12:42:46,7.810295900000001
19/09/05,12:42:47,8.0935859
19/09/05,12:42:48,5.1562375
19/09/05,12:42:49,6.8779231
19/09/05,12:42:50,5.72401
19/09/05,12:42:51,5.1480024
19/09/05,12:42:52,5.3878146
19/09/05,12:42:53,5.6104152
19/09/05,12:42:54,6.0101233
19/09/05,12:42:55,5.672269
19/09/05,12:42:56,4.999745700000001
19/09/05,12:42:57,6.071070699999999
19/09/05,12:42:58,6.0760286
19/09/05,12:42:59,6.656093300000001
19/09/05,12:43:00,5.957924899999999
19/09/05,12:43:01,6.7903778
19/09/05,12:43:02,5.5280714
19/09/05,12:43:03,6.0759861
19/09/05,12:43:04,5.1154101
19/09/05,12:43:05,7.749298100000001
19/09/05,12:43:06,6.098459999999999
19/09/05,12:43:07,6.189222599999999
19/09/05,12:43:08,6.0151752
19/09/05,12:43:09,6.538807299999998
19/09/05,12:43:10,7.2190541999999995
19/09/05,12:43:11,6.165633299999999
19/09/05,12:43:12,4.9913209
19/09/05,12:43:13,5.560709899999999
19/09/05,12:43:14,6.227857299999999
19/09/05,12:43:15,6.4252308000000005
19/09/05,12:43:16,5.109004700000001
19/09/05,12:43:17,5.1381823
19/09/05,12:43:18,4.723126199999999
19/09/05,12:43:19,4.6498626000000005
19/09/05,12:43:20,4.5180467
19/09/05,12:43:21,4.7296757
19/09/05,12:43:22,5.2576068
19/09/05,12:43:23,4.6340699999999995
19/09/05,12:43:24,4.574114300000001
19/09/05,12:43:25,4.5817549
19/09/05,12:43:26,4.3764504
19/09/05,12:43:27,4.8258637
19/09/05,12:43:28,5.1976789
19/09/05,12:43:29,8.134533900000001
19/09/05,12:43:30,6.4478795
19/09/05,12:43:31,8.155834299999999
19/09/05,12:43:32,6.3535159
19/09/05,12:43:33,5.0623268
19/09/05,12:43:34,6.164102400000001
19/09/05,12:43:35,4.737630200000001
19/09/05,12:43:36,4.7914901
19/09/05,12:43:37,5.565612899999999
19/09/05,12:43:38,5.011856699999999
19/09/05,12:43:39,5.420583000000001
19/09/05,12:43:40,4.4959525000000005
19/09/05,12:43:41,6.407627
19/09/05,12:43:42,4.5961663
19/09/05,12:43:43,4.863319000000001
19/09/05,12:43:44,4.7028495
19/09/05,12:43:45,4.4365459000000005
19/09/05,12:43:46,3.5879191
19/09/05,12:43:47,3.4946651999999996
19/09/05,12:43:48,3.7475849
19/09/05,12:43:49,3.6902963
19/09/05,12:43:50,3.6928731
19/09/05,12:43:51,4.4886973999999995
19/09/05,12:43:52,4.8653561
19/09/05,12:43:53,4.494891000000001
19/09/05,12:43:54,4.560327900000001
19/09/05,12:43:55,4.6552869999999995
19/09/05,12:43:56,5.0760066
19/09/05,12:43:57,6.3230802
19/09/05,12:43:58,5.9094657999999995
